"","Player","Tm","season21_22"
"1","Stephen Curry","GSW",45780966
"2","John Wall","HOU",44310840
"3","Russell Westbrook","LAL",44211146
"4","James Harden","BRK",43848000
"5","LeBron James","LAL",41180544
"6","Kevin Durant","BRK",40918900
"7","Giannis Antetokounmpo","MIL",39344970
"8","Paul George","LAC",39344970
"9","Damian Lillard","POR",39344900
"10","Kawhi Leonard","LAC",39344900
"11","Klay Thompson","GSW",37980720
"12","Jimmy Butler","MIA",36016200
"13","Tobias Harris","PHI",3.6e+07
"14","Khris Middleton","MIL",35500000
"15","Anthony Davis","LAL",35361360
"16","Rudy Gobert","UTA",35344828
"17","Kyrie Irving","BRK",34916200
"18","Bradley Beal","WAS",34502130
"19","Kristaps Porzingis","DAL",31650600
"20","Devin Booker","PHO",31610000
"21","Karl-Anthony Towns","MIN",31610000
"22","Ben Simmons","PHI",31590000
"23","Jamal Murray","DEN",31590000
"24","Joel Embiid","PHI",31579390
"25","Andrew Wiggins","GSW",31579390
"26","Pascal Siakam","TOR",31320000
"27","Kevin Love","CLE",31300000
"28","CJ McCollum","POR",30864198
"29","Chris Paul","PHO",30800000
"30","Nikola Jokic","DEN",30510423
"31","Jrue Holiday","MIL",30133333
"32","D'Angelo Russell","MIN",30013500
"33","Gordon Hayward","CHO",29900000
"34","Blake Griffin","DET",32405817
"35","Brandon Ingram","NOP",29467800
"36","De'Aaron Fox","SAC",28103550
"37","Bam Adebayo","MIA",28103550
"38","Donovan Mitchell","UTA",28103550
"39","Jayson Tatum","BOS",28103550
"40","Al Horford","BOS",2.7e+07
"41","Kyle Lowry","MIA",26984128
"42","DeMar DeRozan","CHI",26984127
"43","Kemba Walker","OKC",8729020
"44","Jaylen Brown","BOS",24830357
"45","Draymond Green","GSW",24026712
"46","Nikola Vucevic","CHI",2.4e+07
"47","John Collins","ATL",2.3e+07
"48","Buddy Hield","SAC",22477273
"49","Malcolm Brogdon","IND",21700000
"50","Tim Hardaway Jr.","DAL",21306816
"51","Mike Conley","UTA",2.1e+07
"52","Gary Harris","ORL",20482143
"53","Danilo Gallinari","ATL",20475000
"54","Harrison Barnes","SAC",20284091
"55","Jarrett Allen","CLE",2e+07
"56","Jerami Grant","DET",2e+07
"57","Julius Randle","NYK",19800000
"58","Lonzo Ball","CHI",19767442
"59","Fred VanVleet","TOR",19675926
"60","Zach LaVine","CHI",19500000
"61","Goran Dragic","TOR",19440000
"62","Bojan Bogdanovic","UTA",18700000
"63","Domantas Sabonis","IND",18562500
"64","Eric Gordon","HOU",18218818
"65","Evan Fournier","NYK",18139535
"66","Eric Bledsoe","LAC",18125000
"67","Myles Turner","IND",1.8e+07
"68","Bogdan Bogdanovic","ATL",1.8e+07
"69","Terry Rozier","CHO",17905263
"70","Ricky Rubio","CLE",17809524
"71","Caris LeVert","IND",17500000
"72","Jonathan Isaac","ORL",17400000
"73","Joe Harris","BRK",17357143
"74","Spencer Dinwiddie","WAS",17142857
"75","Clint Capela","ATL",17103448
"76","Steven Adams","MEM",17073171
"77","Markelle Fultz","ORL",16500000
"78","Aaron Gordon","DEN",16409091
"79","OG Anunoby","TOR",16071429
"80","Davis Bertans","WAS",1.6e+07
"81","Gary Trent Jr.","TOR",1.6e+07
"82","Lauri Markkanen","CLE",15690909
"83","Marcus Morris","LAC",15627907
"84","Duncan Robinson","MIA",15560000
"85","Norman Powell","POR",15517242
"86","Dejounte Murray","SAS",15428571
"87","Will Barton","DEN",15384615
"88","Derrick White","SAS",15178571
"89","Taurean Prince","MIN",15057692
"90","Malik Beasley","MIN",14391964
"91","Marcus Smart","BOS",14339285
"92","Patrick Beverley","MIN",14320988
"93","Thaddeus Young","SAS",14190000
"94","Jonas Valanciunas","NOP",1.4e+07
"95","Joe Ingles","UTA",1.4e+07
"96","Doug McDermott","SAS",13750000
"97","Christian Wood","HOU",13666667
"98","Derrick Rose","NYK",13445120
"99","Brook Lopez","MIL",13302325
"100","Kentavious Caldwell-Pope","WAS",13038862
"101","Kyle Kuzma","WAS",1.3e+07
"102","Robert Covington","POR",12975471
"103","Luke Kennard","LAC",12727273
"104","T.J. Warren","IND",12690000
"105","Deandre Ayton","PHO",12632950
"106","Terrence Ross","ORL",12500000
"107","Jordan Clarkson","UTA",12420000
"108","Dillon Brooks","MEM",12200000
"109","Kelly Olynyk","DET",12195122
"110","Kelly Oubre Jr.","CHO",1.2e+07
"111","Josh Hart","NOP",1.2e+07
"112","Jusuf Nurkic","POR",1.2e+07
"113","Josh Richardson","BOS",11600000
"114","Marvin Bagley III","SAC",11312114
"115","Devonte' Graham","NOP",1.1e+07
"116","Dwight Powell","DAL",1.1e+07
"117","Zion Williamson","NOP",10733400
"118","Larry Nance Jr.","POR",10690909
"119","Jeremy Lamb","IND",10500000
"120","Richaun Holmes","SAC",10384500
"121","Reggie Jackson","LAC",10384500
"122","Anthony Edwards","MIN",10245480
"123","Luka Doncic","DAL",10174391
"124","Cade Cunningham","DET",10050120
"125","Danny Green","PHI",1e+07
"126","Tomáš Satoranský","NOP",1e+07
